ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2009-12-01,21551.6929409024,11355.604630144426,41537.39182003414,21551.6929409024,21551.6929409024,5961.846001163436,5961.846001163436,5961.846001163436,5961.846001163436,5961.846001163436,5961.846001163436,0.0,0.0,0.0,27513.53894206584
2009-12-02,21569.624647585828,8700.321044230943,39319.754327304996,21569.624647585828,21569.624647585828,2269.1096871753434,2269.1096871753434,2269.1096871753434,2269.1096871753434,2269.1096871753434,2269.1096871753434,0.0,0.0,0.0,23838.73433476117
2009-12-03,21587.556354269254,15203.379011090108,49268.411746075166,21587.556354269254,21587.556354269254,10223.819474492804,10223.819474492804,10223.819474492804,10223.819474492804,10223.819474492804,10223.819474492804,0.0,0.0,0.0,31811.37582876206
2009-12-04,21605.48806095268,5716.190826103833,36569.37346670068,21605.48806095268,21605.48806095268,75.43283809023077,75.43283809023077,75.43283809023077,75.43283809023077,75.43283809023077,75.43283809023077,0.0,0.0,0.0,21680.92089904291
2009-12-05,21623.419767636107,-7756.398207538185,24162.180674011768,21623.419767636107,21623.419767636107,-13635.698806579301,-13635.698806579301,-13635.698806579301,-13635.698806579301,-13635.698806579301,-13635.698806579301,0.0,0.0,0.0,7987.720961056806
2009-12-06,21641.351474319534,-3151.013292639698,28687.380507968344,21641.351474319534,21641.351474319534,-8015.761444071286,-8015.761444071286,-8015.761444071286,-8015.761444071286,-8015.761444071286,-8015.761444071286,0.0,0.0,0.0,13625.590030248248
2009-12-07,21659.28318100296,8089.1747316239125,42179.35936703746,21659.28318100296,21659.28318100296,3121.252249754949,3121.252249754949,3121.252249754949,3121.252249754949,3121.252249754949,3121.252249754949,0.0,0.0,0.0,24780.53543075791
2009-12-08,21677.214887686387,11756.668975141896,43498.31784243261,21677.214887686387,21677.214887686387,5961.846001158415,5961.846001158415,5961.846001158415,5961.846001158415,5961.846001158415,5961.846001158415,0.0,0.0,0.0,27639.0608888448
2009-12-09,21695.146594369813,7094.005506764094,39919.45416357491,21695.146594369813,21695.146594369813,2269.109687179268,2269.109687179268,2269.109687179268,2269.109687179268,2269.109687179268,2269.109687179268,0.0,0.0,0.0,23964.256281549082
2009-12-10,21713.07830105324,14662.283018569398,47792.33513608127,21713.07830105324,21713.07830105324,10223.819474482352,10223.819474482352,10223.819474482352,10223.819474482352,10223.819474482352,10223.819474482352,0.0,0.0,0.0,31936.89777553559
2009-12-11,21731.010007736666,5032.713806637002,37781.59512334217,21731.010007736666,21731.010007736666,75.43283808073296,75.43283808073296,75.43283808073296,75.43283808073296,75.43283808073296,75.43283808073296,0.0,0.0,0.0,21806.4428458174
2009-12-13,21766.87342110352,-2537.5190041052447,30119.428495649438,21766.87342110352,21766.87342110352,-8015.761444058425,-8015.761444058425,-8015.761444058425,-8015.761444058425,-8015.761444058425,-8015.761444058425,0.0,0.0,0.0,13751.111977045093
2009-12-14,21784.805127786945,8988.874259377182,40130.44585011147,21784.805127786945,21784.805127786945,3121.2522497659716,3121.2522497659716,3121.2522497659716,3121.2522497659716,3121.2522497659716,3121.2522497659716,0.0,0.0,0.0,24906.057377552916
2009-12-15,21802.736834470372,11836.50403197372,42228.03547684536,21802.736834470372,21802.736834470372,5961.846001164263,5961.846001164263,5961.846001164263,5961.846001164263,5961.846001164263,5961.846001164263,0.0,0.0,0.0,27764.582835634636
2009-12-16,21820.6685411538,7769.190741344512,38798.18874009841,21820.6685411538,21820.6685411538,2269.109687174011,2269.109687174011,2269.109687174011,2269.109687174011,2269.109687174011,2269.109687174011,0.0,0.0,0.0,24089.77822832781
2009-12-17,21838.600247837225,15920.793601302454,48050.21562908816,21838.600247837225,21838.600247837225,10223.819474479207,10223.819474479207,10223.819474479207,10223.819474479207,10223.819474479207,10223.819474479207,0.0,0.0,0.0,32062.41972231643
2009-12-18,21856.53195452065,6361.194424231988,39581.77060433303,21856.53195452065,21856.53195452065,75.43283807123375,75.43283807123375,75.43283807123375,75.43283807123375,75.43283807123375,75.43283807123375,0.0,0.0,0.0,21931.964792591883
2009-12-20,21892.395367887504,-933.1332053081808,28677.587495739863,21892.395367887504,21892.395367887504,-8015.7614440455645,-8015.7614440455645,-8015.7614440455645,-8015.7614440455645,-8015.7614440455645,-8015.7614440455645,0.0,0.0,0.0,13876.633923841939
2009-12-21,21910.327074570934,10283.660270362521,40909.30773351944,21910.327074570934,21910.327074570934,3121.2522497475716,3121.2522497475716,3121.2522497475716,3121.2522497475716,3121.2522497475716,3121.2522497475716,0.0,0.0,0.0,25031.579324318507
2009-12-22,21928.25878194177,12381.609204822522,43376.4973777691,21928.25878194177,21928.25878194177,5961.846001161866,5961.846001161866,5961.846001161866,5961.846001161866,5961.846001161866,5961.846001161866,0.0,0.0,0.0,27890.104783103638
2009-12-23,21946.190489312612,8056.221602729755,38966.66776759611,21946.190489312612,21946.190489312612,2269.1096871753416,2269.1096871753416,2269.1096871753416,2269.1096871753416,2269.1096871753416,2269.1096871753416,0.0,0.0,0.0,24215.300176487952
2010-01-04,22161.3709777627,9318.638655563125,39639.25454391738,22161.3709777627,22161.3709777627,3121.25224976229,3121.25224976229,3121.25224976229,3121.25224976229,3121.25224976229,3121.25224976229,0.0,0.0,0.0,25282.62322752499
2010-01-05,22179.302685133538,12079.091661923956,44339.58273112318,22179.302685133538,22179.302685133538,5961.846001154449,5961.846001154449,5961.846001154449,5961.846001154449,5961.846001154449,5961.846001154449,0.0,0.0,0.0,28141.148686287986
2010-01-06,22197.23439250438,8968.647908398312,40845.949435437644,22197.23439250438,22197.23439250438,2269.1096871714153,2269.1096871714153,2269.1096871714153,2269.1096871714153,2269.1096871714153,2269.1096871714153,0.0,0.0,0.0,24466.344079675793
2010-01-07,22215.166099875223,16586.39418158342,48643.98108084341,22215.166099875223,22215.166099875223,10223.819474481728,10223.819474481728,10223.819474481728,10223.819474481728,10223.819474481728,10223.819474481728,0.0,0.0,0.0,32438.98557435695
2010-01-08,22233.097807246064,6161.562375734464,38426.60049361005,22233.097807246064,22233.097807246064,75.43283806495319,75.43283806495319,75.43283806495319,75.43283806495319,75.43283806495319,75.43283806495319,0.0,0.0,0.0,22308.530645311017
2010-01-10,22268.96122198774,-1619.5740778783925,29952.994393875433,22268.96122198774,22268.96122198774,-8015.761444064556,-8015.761444064556,-8015.761444064556,-8015.761444064556,-8015.761444064556,-8015.761444064556,0.0,0.0,0.0,14253.199777923186
2010-01-11,22286.892929358582,10479.290410006937,41491.881950775154,22286.892929358582,22286.892929358582,3121.2522497585414,3121.2522497585414,3121.2522497585414,3121.2522497585414,3121.2522497585414,3121.2522497585414,0.0,0.0,0.0,25408.145179117124
2010-01-12,22304.824636729423,11709.802091765554,44257.0846681142,22304.824636729423,22304.824636729423,5961.846001162921,5961.846001162921,5961.846001162921,5961.846001162921,5961.846001162921,5961.846001162921,0.0,0.0,0.0,28266.670637892345
2010-01-13,22322.756344100268,8193.806315911972,39663.46652111235,22322.756344100268,22322.756344100268,2269.1096871753393,2269.1096871753393,2269.1096871753393,2269.1096871753393,2269.1096871753393,2269.1096871753393,0.0,0.0,0.0,24591.866031275607
2010-01-14,22340.688051471105,15902.628879149555,47193.88690359976,22340.688051471105,22340.688051471105,10223.819474480913,10223.819474480913,10223.819474480913,10223.819474480913,10223.819474480913,10223.819474480913,0.0,0.0,0.0,32564.507525952016
